student_id,mc1_pre,mc2_pre,mc3_pre,mc4_pre,mc5_pre,mc6_pre,mc7_pre,mc1_post,mc2_post,mc3_post,mc4_post,mc5_post,mc6_post,mc7_post
S01,0,0,0,0,0,0,0,0,1,1,0,0,1,0
S02,0,0,0,0,0,1,0,0,0,1,0,0,1,1
S03,0,0,0,1,0,0,0,1,1,1,1,0,1,1
S04,0,1,0,0,0,0,0,0,1,1,0,1,1,0
S05,0,0,1,0,0,1,0,1,1,1,0,1,1,1
S06,0,0,0,0,0,0,1,1,0,0,0,0,1,1
S07,0,0,0,1,0,0,0,0,0,1,1,0,1,0
S08,1,0,0,0,0,1,0,1,1,1,0,1,1,1
S09,0,0,0,0,0,0,0,0,0,1,0,0,1,0
S10,0,0,0,0,0,1,0,1,1,1,0,0,1,1
S11,0,0,0,0,0,0,0,0,1,1,0,0,1,0
S12,0,0,0,1,0,0,0,0,1,1,0,0,1,1
S13,1,0,0,1,0,0,0,1,1,1,0,0,1,1
S14,0,0,0,0,0,0,0,0,0,1,0,0,1,0
S15,0,0,0,0,0,1,0,0,0,0,0,0,1,0
S16,0,0,0,0,0,0,0,0,0,0,0,0,1,0
S17,0,0,0,0,0,0,0,0,0,1,0,0,1,0
S18,0,0,0,1,0,0,0,1,0,1,0,0,1,0
S19,0,0,1,1,0,0,0,1,0,1,1,0,1,0
S20,1,0,0,1,0,1,0,1,1,1,0,1,1,1
S21,0,0,0,0,0,0,0,0,0,1,0,0,1,0
S22,0,1,0,0,0,0,0,0,1,0,0,0,1,0
S23,0,0,0,0,0,0,0,0,0,1,0,0,1,0
S24,0,0,0,0,0,0,0,0,0,1,0,0,1,0
S25,0,1,0,0,0,0,0,0,1,0,0,1,1,0
S26,0,0,0,0,0,0,0,0,1,0,0,0,1,0
S27,0,0,0,0,0,0,1,0,1,1,0,0,1,1
