student_id,lab,excerpt,theme_primary,theme_secondary
S07,2,"The borrow checker felt like a hostile judge at first, but by Lab 3 I realized it was just enforcing rules I didn't know I was breaking. It's actually helpful once you understand it.","frustration_to_appreciation","diagnostic_learning"
S12,3,"I still don't fully get lifetimes. I can fix the errors most of the time, but I'm not always sure WHY the fix works. It feels like pattern matching rather than understanding.","lifetime_confusion","conceptual_gap"
S19,4,"Lab 4 was eye-opening. I assumed that if Rust compiles, the code is safe. But then we had a deadlock and the compiler didn't care. So Rust guarantees memory safety but not logical safety. That's a big distinction I hadn't thought about before.","boundary_recognition","safe_does_not_equal_correct"
S24,1,"The C-to-Rust comparison in Lab 1 really made ownership click. Seeing the C code segfault and then realizing Rust prevents that entirely was powerful. I wish we had done more of this type of comparison.","contrast_learning","ownership_clarity"
S16,4,"I used ChatGPT to help with some of the lifetime errors. It sometimes gave wrong suggestions, which forced me to actually understand what was going on. I think the policy of allowing AI but requiring explanation was good.","ai_tool_use","lifetime_confusion"
S03,3,"The lifetime diagramming exercise was helpful but I still found myself guessing on the transfer task. I think I need more practice with struct lifetimes specifically.","scaffolding_value","conceptual_gap"
S11,2,"I keep confusing immutable and mutable borrows. I understand the rule in theory but when I see actual code I always second-guess myself.","borrow_confusion","diagnostic_learning"
S20,4,"The unsafe audit was the most interesting part. I realized that I had been treating unsafe as 'bad code' rather than 'code that requires human verification.' That's a subtle but important shift.","unsafe_boundary","conceptual_shift"
S08,3,"Lifetimes are still confusing but I'm getting better at reading the compiler errors. They actually tell you exactly what's wrong if you know how to read them.","diagnostic_learning","lifetime_confusion"
S15,2,"I think the annotation worksheet helped me slow down and think about what the compiler was actually saying, rather than just blindly fixing errors.","annotation_value","diagnostic_learning"
