student_id,lab,dimension,score
S01,1,problem_identification,2
S01,1,conceptual_explanation,2
S01,1,diagnostic_interpretation,1
S01,1,repair_verification,3
S01,2,problem_identification,2
S01,2,conceptual_explanation,1
S01,2,diagnostic_interpretation,2
S01,2,repair_verification,2
S01,3,problem_identification,2
S01,3,conceptual_explanation,2
S01,3,diagnostic_interpretation,2
S01,3,repair_verification,2
S01,4,problem_identification,2
S01,4,conceptual_explanation,2
S01,4,diagnostic_interpretation,2
S01,4,repair_verification,2
S01,4,uncertainty_awareness,1
S02,1,problem_identification,2
S02,1,conceptual_explanation,2
S02,1,diagnostic_interpretation,1
S02,1,repair_verification,2
S02,2,problem_identification,2
S02,2,conceptual_explanation,1
S02,2,diagnostic_interpretation,2
S02,2,repair_verification,2
S02,3,problem_identification,2
S02,3,conceptual_explanation,1
S02,3,diagnostic_interpretation,1
S02,3,repair_verification,1
S02,4,problem_identification,2
S02,4,conceptual_explanation,2
S02,4,diagnostic_interpretation,2
S02,4,repair_verification,2
S02,4,uncertainty_awareness,1
S03,1,problem_identification,3
S03,1,conceptual_explanation,2
S03,1,diagnostic_interpretation,2
S03,1,repair_verification,3
S03,2,problem_identification,3
S03,2,conceptual_explanation,2
S03,2,diagnostic_interpretation,2
S03,2,repair_verification,2
S03,3,problem_identification,2
S03,3,conceptual_explanation,2
S03,3,diagnostic_interpretation,2
S03,3,repair_verification,2
S03,4,problem_identification,3
S03,4,conceptual_explanation,3
S03,4,diagnostic_interpretation,3
S03,4,repair_verification,3
S03,4,uncertainty_awareness,2
S04,1,problem_identification,2
S04,1,conceptual_explanation,2
S04,1,diagnostic_interpretation,1
S04,1,repair_verification,2
S04,2,problem_identification,2
S04,2,conceptual_explanation,1
S04,2,diagnostic_interpretation,2
S04,2,repair_verification,2
S04,3,problem_identification,2
S04,3,conceptual_explanation,2
S04,3,diagnostic_interpretation,2
S04,3,repair_verification,2
S04,4,problem_identification,2
S04,4,conceptual_explanation,2
S04,4,diagnostic_interpretation,2
S04,4,repair_verification,2
S04,4,uncertainty_awareness,1
S05,1,problem_identification,3
S05,1,conceptual_explanation,2
S05,1,diagnostic_interpretation,2
S05,1,repair_verification,3
S05,2,problem_identification,2
S05,2,conceptual_explanation,2
S05,2,diagnostic_interpretation,2
S05,2,repair_verification,3
S05,3,problem_identification,2
S05,3,conceptual_explanation,2
S05,3,diagnostic_interpretation,2
S05,3,repair_verification,2
S05,4,problem_identification,3
S05,4,conceptual_explanation,2
S05,4,diagnostic_interpretation,2
S05,4,repair_verification,2
S05,4,uncertainty_awareness,1
S06,1,problem_identification,2
S06,1,conceptual_explanation,2
S06,1,diagnostic_interpretation,1
S06,1,repair_verification,3
S06,2,problem_identification,2
S06,2,conceptual_explanation,1
S06,2,diagnostic_interpretation,2
S06,2,repair_verification,2
S06,3,problem_identification,2
S06,3,conceptual_explanation,2
S06,3,diagnostic_interpretation,2
S06,3,repair_verification,2
S06,4,problem_identification,2
S06,4,conceptual_explanation,2
S06,4,diagnostic_interpretation,2
S06,4,repair_verification,2
S06,4,uncertainty_awareness,1
S07,1,problem_identification,2
S07,1,conceptual_explanation,1
S07,1,diagnostic_interpretation,1
S07,1,repair_verification,2
S07,2,problem_identification,2
S07,2,conceptual_explanation,1
S07,2,diagnostic_interpretation,2
S07,2,repair_verification,2
S07,3,problem_identification,1
S07,3,conceptual_explanation,1
S07,3,diagnostic_interpretation,2
S07,3,repair_verification,1
S07,4,problem_identification,2
S07,4,conceptual_explanation,2
S07,4,diagnostic_interpretation,2
S07,4,repair_verification,2
S07,4,uncertainty_awareness,1
S08,1,problem_identification,3
S08,1,conceptual_explanation,2
S08,1,diagnostic_interpretation,2
S08,1,repair_verification,3
S08,2,problem_identification,2
S08,2,conceptual_explanation,2
S08,2,diagnostic_interpretation,2
S08,2,repair_verification,3
S08,3,problem_identification,2
S08,3,conceptual_explanation,2
S08,3,diagnostic_interpretation,2
S08,3,repair_verification,2
S08,4,problem_identification,3
S08,4,conceptual_explanation,3
S08,4,diagnostic_interpretation,3
S08,4,repair_verification,3
S08,4,uncertainty_awareness,2
S09,1,problem_identification,2
S09,1,conceptual_explanation,2
S09,1,diagnostic_interpretation,1
S09,1,repair_verification,3
S09,2,problem_identification,2
S09,2,conceptual_explanation,1
S09,2,diagnostic_interpretation,2
S09,2,repair_verification,2
S09,3,problem_identification,2
S09,3,conceptual_explanation,1
S09,3,diagnostic_interpretation,2
S09,3,repair_verification,1
S09,4,problem_identification,2
S09,4,conceptual_explanation,2
S09,4,diagnostic_interpretation,2
S09,4,repair_verification,2
S09,4,uncertainty_awareness,1
S10,1,problem_identification,3
S10,1,conceptual_explanation,2
S10,1,diagnostic_interpretation,2
S10,1,repair_verification,3
S10,2,problem_identification,2
S10,2,conceptual_explanation,2
S10,2,diagnostic_interpretation,2
S10,2,repair_verification,2
S10,3,problem_identification,2
S10,3,conceptual_explanation,2
S10,3,diagnostic_interpretation,2
S10,3,repair_verification,2
S10,4,problem_identification,3
S10,4,conceptual_explanation,2
S10,4,diagnostic_interpretation,2
S10,4,repair_verification,2
S10,4,uncertainty_awareness,1
S11,1,problem_identification,2
S11,1,conceptual_explanation,1
S11,1,diagnostic_interpretation,1
S11,1,repair_verification,2
S11,2,problem_identification,2
S11,2,conceptual_explanation,1
S11,2,diagnostic_interpretation,2
S11,2,repair_verification,2
S11,3,problem_identification,2
S11,3,conceptual_explanation,2
S11,3,diagnostic_interpretation,2
S11,3,repair_verification,2
S11,4,problem_identification,2
S11,4,conceptual_explanation,2
S11,4,diagnostic_interpretation,2
S11,4,repair_verification,2
S11,4,uncertainty_awareness,1
S12,1,problem_identification,2
S12,1,conceptual_explanation,1
S12,1,diagnostic_interpretation,1
S12,1,repair_verification,2
S12,2,problem_identification,2
S12,2,conceptual_explanation,1
S12,2,diagnostic_interpretation,2
S12,2,repair_verification,2
S12,3,problem_identification,2
S12,3,conceptual_explanation,1
S12,3,diagnostic_interpretation,1
S12,3,repair_verification,1
S12,4,problem_identification,2
S12,4,conceptual_explanation,2
S12,4,diagnostic_interpretation,2
S12,4,repair_verification,2
S12,4,uncertainty_awareness,1
S13,1,problem_identification,3
S13,1,conceptual_explanation,2
S13,1,diagnostic_interpretation,2
S13,1,repair_verification,3
S13,2,problem_identification,2
S13,2,conceptual_explanation,2
